id,name,query
1,Харків,city=Харків
2,Львів,city=Львів
3,Дніпро,city=Дніпро
4,Одеса,city=Одеса
5,Вінниця,city=Вінниця
6,Запоріжжя,city=Запоріжжя
7,Івано-Франківськ,city=Івано-Франківськ
8,Полтава,city=Полтава
9,Миколаїв,city=Миколаїв
10,Житомир,city=Житомир
11,Черкаси,city=Черкаси
12,Хмельницький,city=Хмельницький
13,Чернівці,city=Чернівці
14,Суми,city=Суми
15,Херсон,city=Херсон
16,Рівне,city=Рівне
17,Луцьк,city=Луцьк
18,Чернігів,city=Чернігів
19,Тернопіль,city=Тернопіль
20,Ужгород,city=Ужгород
21,Кропивницький,city=Кропивницький
22,Маріуполь,city=Маріуполь
23,Кам’янець-Подільський,city=Кам’янець-Подільський
24,Жовква,city=Жовква
25,Боярка,city=Боярка
26,Калуш,city=Калуш
27,Бровари,city=Бровари
28,Кременчук,city=Кременчук
29,Кривий Ріг,city=Ріг
30,віддалена робота,remote
31,за кордоном,relocate
