id,name,param
1,Java,category=Java
2,PHP,category=PHP
3,.NET,category=.NET
4,C++,category=C++
5,QA,category=QA
6,Project Manager,category=Project Manager
7,Product Manager,category=Product Manager
8,Analyst,category=Analyst
9,Python,category=Python
10,Ruby,category=Ruby
11,iOS/macOS,category=iOS/macOS
12,Android,category=Android
13,Front End,category=Front End
14,Дизайн,category=Дизайн
15,Маркетинг,category=Маркетинг
16,DevOps,category=DevOps
17,Data Science,category=Data Science
18,React Native,category=React Native
19,Embedded,category=Embedded
20,Unity,category=Unity
21,Security,category=Security
22,Blockchain,category=Blockchain
23,Системный администратор,category=Системный администратор
24,Node.js,category=Node.js
25,HR,category=HR
26,Support,category=Support
27,Sales,category=Sales
28,DBA,category=DBA
29,ERP/CRM,category=ERP/CRM
30,Golang,category=Golang
31,Technical Writer,category=Technical Writer
32,SEO,category=SEO
33,Scala,category=Scala
34,1С,category=1С
35,Other,category=Other
